character,film,release_date,screen_time
Harry Potter,Deathly Hallows: Part 1,2010,68:15
Hermione Granger,Deathly Hallows: Part 1,2010,46:00
Ron Weasley,Deathly Hallows: Part 1,2010,35:45
Voldemort (Harry Potter),Deathly Hallows: Part 1,2010,5:00
Xenophilius Lovegood,Deathly Hallows: Part 1,2010,5:00
Rubeus Hagrid,Deathly Hallows: Part 1,2010,4:15
Dobby (Harry Potter),Deathly Hallows: Part 1,2010,3:45
Bellatrix Black Lestrange,Deathly Hallows: Part 1,2010,3:00
Mundungus Fletcher,Deathly Hallows: Part 1,2010,3:00
Scabior (Harry Potter),Deathly Hallows: Part 1,2010,2:45
Luna Lovegood,Deathly Hallows: Part 1,2010,2:30
Rufus Scrimgeour,Deathly Hallows: Part 1,2010,2:30
Lucius Malfoy,Deathly Hallows: Part 1,2010,2:30
Narcissa Black Malfoy,Deathly Hallows: Part 1,2010,2:30
Draco Malfoy,Deathly Hallows: Part 1,2010,2:15
Kreacher (Harry Potter),Deathly Hallows: Part 1,2010,2:15
George Weasley,Deathly Hallows: Part 1,2010,2:15
Fred Weasley,Deathly Hallows: Part 1,2010,2:00
Remus Lupin,Deathly Hallows: Part 1,2010,2:00
Ginny Weasley,Deathly Hallows: Part 1,2010,2:00
Corban Yaxley,Deathly Hallows: Part 1,2010,2:00
Dolores Umbridge,Deathly Hallows: Part 1,2010,1:45
Arthur Weasley,Deathly Hallows: Part 1,2010,1:45
Mary Cattermole,Deathly Hallows: Part 1,2010,1:45
Bathilda Bagshot,Deathly Hallows: Part 1,2010,1:30
Alastor "Mad-Eye" Moody,Deathly Hallows: Part 1,2010,1:30
Fleur Delacour,Deathly Hallows: Part 1,2010,1:30
Bill Weasley,Deathly Hallows: Part 1,2010,1:15
Severus Snape,Deathly Hallows: Part 1,2010,1:15
Molly Weasley,Deathly Hallows: Part 1,2010,1:15
Garrick Ollivander,Deathly Hallows: Part 1,2010,1:00
Griphook (Harry Potter),Deathly Hallows: Part 1,2010,1:00
Peter Pettigrew,Deathly Hallows: Part 1,2010,1:00
Nagini (Harry Potter),Deathly Hallows: Part 1,2010,1:00
Nymphadora Tonks,Deathly Hallows: Part 1,2010,1:00
Kingsley Shacklebolt,Deathly Hallows: Part 1,2010,1:00
Elphias Doge,Deathly Hallows: Part 1,2010,1:00
Pius Thicknesse,Deathly Hallows: Part 1,2010,0:45
Albus Dumbledore,Deathly Hallows: Part 1,2010,0:45
Muriel (Harry Potter),Deathly Hallows: Part 1,2010,0:45
Reginald Cattermole,Deathly Hallows: Part 1,2010,0:45
Albert Runcorn,Deathly Hallows: Part 1,2010,0:30
Mafalda Hopkirk,Deathly Hallows: Part 1,2010,0:30
Hedwig (Harry Potter),Deathly Hallows: Part 1,2010,0:30
Gregorovitch (Harry Potter),Deathly Hallows: Part 1,2010,0:30
Gellert Grindelwald,Deathly Hallows: Part 1,2010,0:30
Aberforth Dumbledore,Deathly Hallows: Part 1,2010,0:15
Rita Skeeter,Deathly Hallows: Part 1,2010,0:15
Olympe Maxime,Deathly Hallows: Part 1,2010,0:15
Amycus Carrow,Deathly Hallows: Part 1,2010,0:15
Alecto Carrow,Deathly Hallows: Part 1,2010,0:15
Seamus Finnigan,Deathly Hallows: Part 1,2010,0:15
Nigel Wolpert,Deathly Hallows: Part 1,2010,0:15
Gregory Goyle,Deathly Hallows: Part 1,2010,0:15
Cormac McLaggen,Deathly Hallows: Part 1,2010,0:15
Padma Patil,Deathly Hallows: Part 1,2010,0:15
Neville Longbottom,Deathly Hallows: Part 1,2010,0:15
Romilda Vane,Deathly Hallows: Part 1,2010,0:15
Vernon Dursley,Deathly Hallows: Part 1,2010,0:15
Dudley Dursley,Deathly Hallows: Part 1,2010,0:15
Petunia Evans Dursley,Deathly Hallows: Part 1,2010,0:15
Buckbeak,Deathly Hallows: Part 1,2010,0:15
Crookshanks,Deathly Hallows: Part 1,2010,0:15
Viktor Krum,Deathly Hallows: Part 1,2010,0:00
Lily Evans Potter,Deathly Hallows: Part 1,2010,0:00
James Potter,Deathly Hallows: Part 1,2010,0:00